alamat,harga,jumlah_kamar,luas_bangunan,luas_lahan
Depok,400000000,2,42,84
"Cipayung, Depok",935000000,4,450,341
"Sukmajaya, Depok",1160000000,2,45,98
"Cinangka, Depok",638000000,2,45,65
Depok,549000000,3,84,90
"Cilodong, Depok",895000000,3,70,65
Depok,1189000000,3,58,94
"Sawangan, Depok",1478000000,3,88,84
"Bojongsari, Depok",799000000,2,76,108
"Citayam, Depok",280000000,2,33,54
"Tugu, Depok",1100000000,3,90,104
"Sawangan, Depok",800000000,4,101,77
"Sawangan, Depok",1800000000,3,128,230
"Citayam, Depok",850000000,3,91,74
"Sawangan, Depok",760000000,2,45,84
"Cinangka, Depok",815000000,3,70,60
"Cinangka, Depok",1301000000,3,70,106
"Sawangan, Depok",2247000000,3,101,105
"Sawangan, Depok",775750000,2,60,95
"Sawangan, Depok",2140000000,4,171,144
"Margonda, Depok",2140000000,4,196,130
"Bedahan, Depok",450000000,2,43,60
"Cisalak, Depok",750000000,3,60,93
"Limo, Depok",2890000000,3,118,120
"Cimanggis, Depok",2470000000,3,107,145
"Beji, Depok",1917337550,6,164,82
"Sawangan, Depok",407000000,2,36,60
"Pondok Petir, Depok",680000000,2,50,62
"Sawangan, Depok",625000000,2,50,84
"Sawangan, Depok",540000000,2,40,60
"Cilodong, Depok",4500000000,3,200,450
"Cinere, Depok",55000000000,4,400,3900
"Cinere, Depok",6800000000,5,325,286
"Kalimulya, Depok",673100000,3,63,54
"Margonda, Depok",1170000000,3,64,84
Depok,265000000,2,36,50
"Sawangan, Depok",255000000,2,30,40
"Sawangan, Depok",1830000000,3,110,98
"Depok, Depok",385000000,2,36,60
"Cinere, Depok",325000000,2,36,60
"Cinere, Depok",195000000,2,30,30
"Cinere, Depok",1900000000,3,150,72
"Leuwi Nanggung, Depok",210000000,2,45,50
Depok,2845000000,3,200,305
"Sawangan, Depok",700000000,3,110,80
"Tanah Baru, Depok",1500000000,3,120,81
"Cilodong, Depok",650000000,2,50,88
"Margonda, Depok",1050000000,3,60,72
"Cipayung, Depok",199999000,1,21,40
"Pancoran Mas, Depok",650000000,2,38,65
"Sawangan, Depok",950000000,3,130,150
"Sawangan, Depok",1500000000,3,160,120
"Cilodong, Depok",620000000,3,90,66
"Cilodong, Depok",610000000,2,50,40
